grid_size,average_reward_per_step,average_steps,won_games
5,5.877551020408163,12.17,95
5,5.03125,12.17,95
5,10.625,12.17,95
5,2.5266272189349115,12.17,95
5,9.0,12.17,95
5,14.888888888888891,12.17,95
5,4.7346938775510194,12.17,95
5,11.625,12.17,95
5,2.7768595041322315,12.17,95
5,9.0,12.17,95
5,26.0,12.17,95
5,7.388888888888889,12.17,95
5,3.3,12.17,95
5,10.375,12.17,95
5,11.625,12.17,95
5,4.506172839506173,12.17,95
5,5.03125,12.17,95
5,2.112244897959184,12.17,95
5,11.625,12.17,95
5,3.1,12.17,95
5,2.7768595041322315,12.17,95
5,3.7,12.17,95
5,6.722222222222222,12.17,95
5,7.388888888888889,12.17,95
5,11.625,12.17,95
5,9.0,12.17,95
5,6.722222222222222,12.17,95
5,5.03125,12.17,95
5,16.555555555555557,12.17,95
5,-2.91,12.17,95
5,11.625,12.17,95
5,7.388888888888889,12.17,95
5,3.6,12.17,95
5,28.5,12.17,95
5,5.53125,12.17,95
5,1.6122448979591837,12.17,95
5,4.7346938775510194,12.17,95
5,-0.38,12.17,95
5,5.7346938775510194,12.17,95
5,0.7612456747404844,12.17,95
5,9.0,12.17,95
5,26.0,12.17,95
5,15.555555555555557,12.17,95
5,9.0,12.17,95
5,16.555555555555557,12.17,95
5,7.388888888888889,12.17,95
5,9.0,12.17,95
5,3.8472222222222228,12.17,95
5,4.020408163265306,12.17,95
5,3.180555555555556,12.17,95
5,4.03125,12.17,95
5,4.172839506172839,12.17,95
5,10.625,12.17,95
5,10.875,12.17,95
5,3.03125,12.17,95
5,2.9,12.17,95
5,3.8,12.17,95
5,9.0,12.17,95
5,3.283950617283951,12.17,95
5,10.375,12.17,95
5,3.0,12.17,95
5,3.4132231404958677,12.17,95
5,4.172839506172839,12.17,95
5,28.5,12.17,95
5,7.388888888888889,12.17,95
5,-2.9,12.17,95
5,2.0078125,12.17,95
5,6.222222222222222,12.17,95
5,4.172839506172839,12.17,95
5,2.8,12.17,95
5,3.5138888888888893,12.17,95
5,76.0,12.17,95
5,8.0,12.17,95
5,6.222222222222222,12.17,95
5,6.888888888888889,12.17,95
5,7.388888888888889,12.17,95
5,3.6,12.17,95
5,-0.52,12.17,95
5,1.5408163265306123,12.17,95
5,3.8395061728395063,12.17,95
5,4.2,12.17,95
5,81.0,12.17,95
5,3.3727810650887573,12.17,95
5,4.172839506172839,12.17,95
5,7.388888888888889,12.17,95
5,0.224952741020794,12.17,95
5,14.888888888888891,12.17,95
5,4.2,12.17,95
5,3.5,12.17,95
5,10.375,12.17,95
5,4.40625,12.17,95
5,2.326530612244898,12.17,95
5,4.2,12.17,95
5,4.283950617283951,12.17,95
5,9.0,12.17,95
5,3.8395061728395063,12.17,95
5,-0.53,12.17,95
5,10.375,12.17,95
5,3.728395061728395,12.17,95
5,3.506172839506173,12.17,95
6,-2.85,24.82,86
6,3.8677685950413223,24.82,86
6,3.5972222222222228,24.82,86
6,2.9881656804733727,24.82,86
6,-2.91,24.82,86
6,2.0408163265306123,24.82,86
6,4.950617283950617,24.82,86
6,0.4201183431952663,24.82,86
6,-2.58,24.82,86
6,81.0,24.82,86
6,1.763888888888889,24.82,86
6,2.603550295857988,24.82,86
6,-2.45,24.82,86
6,7.388888888888889,24.82,86
6,5.03125,24.82,86
6,2.112244897959184,24.82,86
6,3.3727810650887573,24.82,86
6,4.950617283950617,24.82,86
6,2.8472222222222228,24.82,86
6,28.5,24.82,86
6,1.757396449704142,24.82,86
6,-2.85,24.82,86
6,2.757396449704142,24.82,86
6,28.5,24.82,86
6,1.1911357340720221,24.82,86
6,2.2551020408163267,24.82,86
6,5.53125,24.82,86
6,10.875,24.82,86
6,0.2133194588969823,24.82,86
6,2.958677685950413,24.82,86
6,-2.37,24.82,86
6,2.1953125,24.82,86
6,-2.87,24.82,86
6,1.675,24.82,86
6,-0.3816206428248076,24.82,86
6,1.6222222222222222,24.82,86
6,1.7551020408163267,24.82,86
6,1.643598615916955,24.82,86
6,5.03125,24.82,86
6,0.361328125,24.82,86
6,5.53125,24.82,86
6,4.5,24.82,86
6,0.5727788279773157,24.82,86
6,5.591836734693877,24.82,86
6,2.9881656804733727,24.82,86
6,4.061728395061729,24.82,86
6,3.1,24.82,86
6,3.65625,24.82,86
6,2.9,24.82,86
6,0.07396449704142014,24.82,86
6,6.3061224489795915,24.82,86
6,-0.019274376417233577,24.82,86
6,2.8395061728395063,24.82,86
6,0.0994897959183673,24.82,86
6,1.4542936288088644,24.82,86
6,76.0,24.82,86
6,3.17283950617284,24.82,86
6,6.3061224489795915,24.82,86
6,3.5972222222222228,24.82,86
6,7.388888888888889,24.82,86
6,2.1420118343195265,24.82,86
6,2.1555555555555554,24.82,86
6,5.888888888888889,24.82,86
6,3.617283950617284,24.82,86
6,1.3555555555555554,24.82,86
6,5.53125,24.82,86
6,3.1404958677685952,24.82,86
6,4.506172839506173,24.82,86
6,1.5703125,24.82,86
6,81.0,24.82,86
6,11.625,24.82,86
6,3.7,24.82,86
6,-0.1862244897959184,24.82,86
6,7.388888888888889,24.82,86
6,2.8395061728395063,24.82,86
6,0.06377551020408159,24.82,86
6,11.625,24.82,86
6,6.555555555555556,24.82,86
6,-2.76,24.82,86
6,-2.62,24.82,86
6,3.617283950617284,24.82,86
6,8.4,24.82,86
6,9.0,24.82,86
6,9.0,24.82,86
6,4.5,24.82,86
6,3.8677685950413223,24.82,86
6,-2.8,24.82,86
6,1.432098765432099,24.82,86
6,4.140495867768595,24.82,86
6,-2.69,24.82,86
6,-0.47,24.82,86
6,11.625,24.82,86
6,-2.66,24.82,86
6,-2.7,24.82,86
6,1.3979591836734695,24.82,86
6,2.8,24.82,86
6,1.875,24.82,86
6,1.643598615916955,24.82,86
6,7.388888888888889,24.82,86
6,1.3203125,24.82,86
7,0.224952741020794,35.18,80
7,4.7346938775510194,35.18,80
7,11.625,35.18,80
7,-0.39590942293645,35.18,80
7,2.9,35.18,80
7,-0.47165532879818595,35.18,80
7,2.6328125,35.18,80
7,3.728395061728395,35.18,80
