grid_size,average_reward_per_step,average_steps,won_games
5,76.0,7.72,99
5,3.283950617283951,7.72,99
5,14.888888888888891,7.72,99
5,5.6,7.72,99
5,2.59504132231405,7.72,99
5,76.0,7.72,99
5,10.375,7.72,99
5,4.722222222222222,7.72,99
5,26.0,7.72,99
5,3.877551020408163,7.72,99
5,3.40625,7.72,99
5,6.555555555555556,7.72,99
5,4.40625,7.72,99
5,76.0,7.72,99
5,7.2,7.72,99
5,2.9,7.72,99
5,3.728395061728395,7.72,99
5,5.4,7.72,99
5,5.222222222222222,7.72,99
5,2.3,7.72,99
5,14.888888888888891,7.72,99
5,4.163265306122449,7.72,99
5,2.6859504132231407,7.72,99
5,26.0,7.72,99
5,6.4,7.72,99
5,8.0,7.72,99
5,5.020408163265306,7.72,99
5,1.6804733727810652,7.72,99
5,3.9506172839506175,7.72,99
5,5.8,7.72,99
5,71.0,7.72,99
5,2.7638888888888893,7.72,99
5,1.757396449704142,7.72,99
5,1.8472222222222223,7.72,99
5,3.17283950617284,7.72,99
5,3.4132231404958677,7.72,99
5,2.3950617283950617,7.72,99
5,1.28125,7.72,99
5,9.625,7.72,99
5,26.0,7.72,99
5,71.0,7.72,99
5,4.448979591836735,7.72,99
5,5.020408163265306,7.72,99
5,1.6122448979591837,7.72,99
5,3.40625,7.72,99
5,1.6035502958579881,7.72,99
5,3.506172839506173,7.72,99
5,10.375,7.72,99
5,5.020408163265306,7.72,99
5,26.0,7.72,99
5,3.9506172839506175,7.72,99
5,3.506172839506173,7.72,99
5,4.888888888888889,7.72,99
5,6.055555555555556,7.72,99
5,2.0495867768595044,7.72,99
5,2.231404958677686,7.72,99
5,2.1,7.72,99
5,7.2,7.72,99
5,14.888888888888891,7.72,99
5,26.0,7.72,99
5,5.8,7.72,99
5,76.0,7.72,99
5,1.9586776859504134,7.72,99
5,4.020408163265306,7.72,99
5,5.222222222222222,7.72,99
5,10.375,7.72,99
5,2.326530612244898,7.72,99
5,3.17283950617284,7.72,99
5,2.013888888888889,7.72,99
5,5.388888888888889,7.72,99
5,8.0,7.72,99
5,7.4,7.72,99
5,7.2,7.72,99
5,6.4,7.72,99
5,1.3555555555555554,7.72,99
5,10.375,7.72,99
5,3.0617283950617287,7.72,99
5,10.375,7.72,99
5,1.3472222222222223,7.72,99
5,3.17283950617284,7.72,99
5,76.0,7.72,99
5,8.0,7.72,99
5,3.40625,7.72,99
5,2.6,7.72,99
5,5.888888888888889,7.72,99
5,4.7346938775510194,7.72,99
5,10.375,7.72,99
5,7.2,7.72,99
5,3.90625,7.72,99
5,-2.96,7.72,99
5,5.020408163265306,7.72,99
5,76.0,7.72,99
5,14.888888888888891,7.72,99
5,4.3061224489795915,7.72,99
5,7.2,7.72,99
5,2.013888888888889,7.72,99
5,8.0,7.72,99
5,8.0,7.72,99
5,3.40625,7.72,99
5,4.03125,7.72,99
6,6.555555555555556,13.31,96
6,0.8979591836734695,13.31,96
6,3.65625,13.31,96
6,5.222222222222222,13.31,96
6,1.5432098765432098,13.31,96
6,1.2551020408163267,13.31,96
6,2.0703125,13.31,96
6,13.222222222222223,13.31,96
6,76.0,13.31,96
6,-0.44,13.31,96
6,-2.99,13.31,96
6,3.0972222222222228,13.31,96
6,2.3472222222222223,13.31,96
6,2.8472222222222228,13.31,96
6,2.8472222222222228,13.31,96
6,1.5987654320987654,13.31,96
6,2.7768595041322315,13.31,96
6,5.4,13.31,96
6,10.375,13.31,96
6,2.0972222222222223,13.31,96
6,1.7555555555555555,13.31,96
6,3.506172839506173,13.31,96
6,2.90625,13.31,96
6,4.591836734693877,13.31,96
6,-0.5,13.31,96
6,0.9806094182825484,13.31,96
6,1.8472222222222223,13.31,96
6,14.888888888888891,13.31,96
6,10.375,13.31,96
6,2.6859504132231407,13.31,96
6,2.6859504132231407,13.31,96
6,2.06508875739645,13.31,96
6,10.375,13.31,96
6,1.8888888888888888,13.31,96
6,8.0,13.31,96
6,5.591836734693877,13.31,96
6,2.06508875739645,13.31,96
6,8.625,13.31,96
6,8.0,13.31,96
6,-0.49,13.31,96
6,10.375,13.31,96
6,4.020408163265306,13.31,96
6,4.055555555555556,13.31,96
6,3.6,13.31,96
6,1.8203125,13.31,96
6,2.504132231404959,13.31,96
6,4.448979591836735,13.31,96
6,3.0972222222222228,13.31,96
6,2.3950617283950617,13.31,96
6,3.15625,13.31,96
6,4.163265306122449,13.31,96
6,8.0,13.31,96
6,2.6859504132231407,13.31,96
6,5.020408163265306,13.31,96
6,1.9881656804733727,13.31,96
6,1.969387755102041,13.31,96
6,2.958677685950413,13.31,96
6,1.9305555555555556,13.31,96
